n,1 feature(s),2 feature(s),3 feature(s)
2,0.0,0.0,0.0
4,0.118953125,0.029484375,0.009296875
8,0.141015625,0.04783482142857143,0.028404017857142857
16,0.148484375,0.05925,0.0460078125
32,0.15431919642857142,0.06685825892857143,0.058058035714285715
64,0.1566171875,0.07234765625,0.06751953125
128,0.15807198660714286,0.07508649553571428,0.07182477678571429
256,0.157724609375,0.07687109375,0.07451171875
512,0.15809151785714284,0.077392578125,0.07552176339285714
1024,0.158658203125,0.0780439453125,0.076494140625
