n,1 feature(s),2 feature(s),3 feature(s)
2,0.0,0.0,0.0
4,0.118953125,0.029484375,0.00896875
8,0.141015625,0.04783482142857143,0.02171875
16,0.148484375,0.05925,0.03565625
32,0.15431919642857142,0.06685825892857143,0.04732700892857143
64,0.1566171875,0.07234765625,0.055859375
128,0.15807198660714286,0.07508649553571428,0.060226004464285714
256,0.157724609375,0.07687109375,0.062890625
512,0.15809151785714284,0.077392578125,0.06400111607142857
1024,0.158658203125,0.0780439453125,0.064919921875
