n,1 feature(s),2 feature(s),3 feature(s)
2,0.2525748249475413,0.17207716140071902,0.2261020526887507
4,0.20563421630859374,0.14548091678828984,0.17243574553844976
8,0.18036940313607552,0.12039560402555419,0.13432071083470395
16,0.1699659394054878,0.10215078989664714,0.104736328125
32,0.16483624039776384,0.09138450301995799,0.08628924059650456
64,0.16158163888113838,0.08538778981854839,0.07633253528225807
128,0.16004147219967532,0.08224051339285714,0.07108683080717165
256,0.15943816298738533,0.08057107676630434,0.06856055923655063
512,0.15884339158681765,0.07962684394409938,0.06698022959183673
1024,0.15857691271551724,0.079015141039823,0.06623124226485148
